name,type,scope,parameters,call,summary
ListSecurityGroupRealizedStates,Policy,Infra,{enforcementpointid},/policy/api/v1/infra/realized-state/enforcement-points/{enforcementpointid}/groups/securitygroups,List Security Groups
ReadInfraSegmentDhcpStaticBindingState,Policy,Infra,"{segmentid}, {bindingid}",/policy/api/v1/infra/segments/{segmentid}/dhcp-static-bindings/{bindingid}/state,Read DHCP static binding state
ReadOspfAreaConfig,Policy,Infra,"{tier0id}, {localeserviceid}, {areaid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/ospf/areas/{areaid},Read OSPF Area config
ListALBServerAutoScalePolicy,Policy,Infra,,/policy/api/v1/infra/alb-server-auto-scale-policies,List ALBServerAutoScalePolicy for infra
GlobalInfraListSegmentDhcpStaticBinding,Policy,Global,"{tier1id}, {segmentid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/segments/{segmentid}/dhcp-static-binding-configs,List all DHCP static bindings
GetInfraSegmentPortMacTableInCsv,Policy,Infra,"{segmentid}, {portid}",/policy/api/v1/infra/segments/{segmentid}/ports/{portid}/mac-table?format=csv,Get infra segment port MAC table in CSV
ReadALBPool,Policy,Infra,{albpoolid},/policy/api/v1/infra/alb-pools/{albpoolid},Read ALBPool
GetInfraPortMonitoringBinding,Policy,Infra,"{infrasegmentid}, {infraportid}, {portmonitoringprofilebindingmapid}",/policy/api/v1/infra/segments/{infrasegmentid}/ports/{infraportid}/port-monitoring-profile-binding-maps/{portmonitoringprofilebindingmapid},Get Infra Port Monitoring Profile Binding Map
GlobalInfraListDhcpRelayConfig,Policy,Global,,/policy/api/v1/global-infra/dhcp-relay-configs,List DHCP relay config instances
ListShaPluginProfiles,Policy,Infra,,/policy/api/v1/infra/sha/plugin-profiles,API will provide list of SHA profile.
GlobalInfraGetInfraSegmentInterfaceArpTableCsv,Policy,Global,{segmentid},/policy/api/v1/global-infra/segments/{segmentid}/arp-table?format=csv,Get ARP table from segment interface (downlink) in CSV format
ListLBServices,Policy,Infra,,/policy/api/v1/infra/lb-services,List LBService
GetPolicyNatRuleStatisticsFromTier1,Policy,Infra,"{tier1id}, {natid}, {natruleid}",/policy/api/v1/infra/tier-1s/{tier1id}/nat/{natid}/nat-rules/{natruleid}/statistics,Get NAT Rule Statistics
GetClusterControlPlane,Policy,Infra,"{siteid}, {enforcementpointid}, {clustercontrolplaneid}",/policy/api/v1/infra/sites/{siteid}/enforcement-points/{enforcementpointid}/cluster-control-planes/{clustercontrolplaneid},Get a Cluster Control Plane
ListALBSecurityPolicy,Policy,Infra,,/policy/api/v1/infra/alb-security-policies,List ALBSecurityPolicy for infra
GetDownlinkPortDadStateForTier1Segment,Policy,Infra,"{tier1id}, {segmentid}",/policy/api/v1/infra/tier-1s/{tier1id}/segments/{segmentid}/gateway-interface-dad-state,Get DAD state for downlink router port on tier-1 router
GlobalInfraGetGroupSegmentMembers,Policy,Global,"{domainid}, {groupid}",/policy/api/v1/global-infra/domains/{domainid}/groups/{groupid}/members/segments,Get segments that belong to this Group
GlobalInfraGetTier1DNSForwarderStatus,Policy,Global,{tier1id},/policy/api/v1/global-infra/tier-1s/{tier1id}/dns-forwarder/status,Get current status of tier-1 DNS forwarder
GetTier0VpnIPSecVpnSessionStatus,Policy,Infra,"{tier0id}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-0s/{tier0id}/ipsec-vpn-services/{serviceid}/sessions/{sessionid}/detailed-status,Get IPSec VPN session detailed status under Tier-0
ListPolicyNatRules,Policy,Infra,"{tier1id}, {natid}",/policy/api/v1/infra/tier-1s/{tier1id}/nat/{natid}/nat-rules,List NAT Rules
ListDhcpRelayConfig,Policy,Infra,,/policy/api/v1/infra/dhcp-relay-configs,List DHCP relay config instances
GetGroupLSMembers,Policy,Infra,"{domainid}, {groupid}",/policy/api/v1/infra/domains/{domainid}/groups/{groupid}/members/logical-switches,Get logical switches that belong to this Group
GetTier0FloodProtectionProfileBinding,Policy,Infra,"{tier0id}, {floodprotectionprofilebindingid}",/policy/api/v1/infra/tier-0s/{tier0id}/flood-protection-profile-bindings/{floodprotectionprofilebindingid},Get Flood Protection Profile Binding Map for Tier-0 Logical Router
ListInfraSegmentDiscoveryBindings,Policy,Infra,{infrasegmentid},/policy/api/v1/infra/segments/{infrasegmentid}/segment-discovery-profile-binding-maps,List Infra Segment Discovery Profile Binding Maps
GlobalInfraReadDhcpServerStats,Policy,Global,{configid},/policy/api/v1/global-infra/dhcp-server-configs/{configid}/stats,Read DHCP server statistics
ReadIdsGatewayRule,Policy,Infra,"{domainid}, {policyid}, {ruleid}",/policy/api/v1/infra/domains/{domainid}/intrusion-service-gateway-policies/{policyid}/rules/{ruleid},Read IDS rule
GlobalInfraReadDhcpServerState,Policy,Global,{configid},/policy/api/v1/global-infra/dhcp-server-configs/{configid}/state,Read DHCP server state
